Date,cases,deaths,recovered
1-Jan-21,10306393,148664,9905403
2-Jan-21,10324537,148880,9926306
3-Jan-21,10341215,149095,9945964
4-Jan-21,10357493,149295,9975173
5-Jan-21,10375402,149560,9996334
6-Jan-21,10395874,149782,10016023
7-Jan-21,10413997,150015,10036526
8-Jan-21,10432450,150244,10055768
9-Jan-21,10451270,150457,10075228
10-Jan-21,10467356,150607,10091965
11-Jan-21,10479837,150773,10110543
12-Jan-21,10495740,150973,10128305
13-Jan-21,10512755,151174,10146102
14-Jan-21,10528432,151363,10162045
15-Jan-21,10543587,151539,10178854
16-Jan-21,10558637,151720,10196056
17-Jan-21,10572599,151865,10210569
18-Jan-21,10582586,152002,10227696
19-Jan-21,10596373,152164,10244925
20-Jan-21,10611652,152316,10264996
21-Jan-21,10626147,152477,10282730
22-Jan-21,10640470,152630,10299896
23-Jan-21,10655366,152786,10315929
24-Jan-21,10668598,152917,10329077
25-Jan-21,10677696,153033,10345169
26-Jan-21,10690429,153171,10358419
27-Jan-21,10701985,153294,10372680
28-Jan-21,10720897,153456,10392995
29-Jan-21,10733951,153593,10407881
30-Jan-21,10747024,153721,10421958
31-Jan-21,10758551,153837,10433840
1-Feb-21,10767130,153931,10447283
2-Feb-21,10778131,154044,10461533
3-Feb-21,10791056,154151,10479346
4-Feb-21,10803457,154271,10495134
5-Feb-21,10815168,154366,10509646
6-Feb-21,10827237,154441,10521407
7-Feb-21,10839023,154527,10533163
8-Feb-21,10847738,154605,10546763
9-Feb-21,10858469,154699,10559691
10-Feb-21,10871008,154809,10571487
11-Feb-21,10880361,154894,10587209
12-Feb-21,10892498,154998,10598567
13-Feb-21,10904696,155087,10609674
14-Feb-21,10916402,155178,10619174
15-Feb-21,10925488,155260,10630967
16-Feb-21,10937080,155359,10642803
17-Feb-21,10949942,155459,10654831
18-Feb-21,10963179,155559,10665745
19-Feb-21,10977095,155659,10675959
20-Feb-21,10991014,155748,10687372
21-Feb-21,11005292,155831,10697087
22-Feb-21,11015786,155907,10710320
23-Feb-21,11029468,156010,10724289
24-Feb-21,11046398,156151,10736389
25-Feb-21,11062997,156270,10748611
26-Feb-21,11079559,156384,10761401
27-Feb-21,11096364,156495,10773110
28-Feb-21,11111978,156603,10784401
1-Mar-21,11124248,156695,10796873
2-Mar-21,11139246,156793,10809986
3-Mar-21,11156671,156880,10824057
4-Mar-21,11173495,156993,10837845
5-Mar-21,11191819,157102,10852031
6-Mar-21,11210543,157202,10866410
7-Mar-21,11229193,157299,10880713
8-Mar-21,11244546,157375,10897319
9-Mar-21,11262419,157508,10917962
10-Mar-21,11285270,157633,10936116
11-Mar-21,11308568,157752,10951208
12-Mar-21,11333413,157892,10971180
13-Mar-21,11358567,158051,10987688
14-Mar-21,11385080,158171,11005278
15-Mar-21,11409517,158301,11025464
16-Mar-21,11438386,158488,11043210
17-Mar-21,11474224,158659,11061003
18-Mar-21,11513911,158815,11081359
19-Mar-21,11554817,159003,11104982
20-Mar-21,11598632,159199,11127953
21-Mar-21,11645641,159412,11149158
22-Mar-21,11686277,159609,11178937
23-Mar-21,11733516,159886,11202850
24-Mar-21,11786935,160135,11229425
25-Mar-21,11846018,160392,11262342
26-Mar-21,11908294,160684,11292683
27-Mar-21,11970926,160995,11321411
28-Mar-21,12039132,161290,11353680
29-Mar-21,12095284,161556,11390669
30-Mar-21,12148521,161911,11431911
31-Mar-21,12220634,162369,11472334
1-Apr-21,12302032,162837,11522718
2-Apr-21,12391055,163550,11566897
3-Apr-21,12484049,164064,11626956
4-Apr-21,12587843,164541,11679796
5-Apr-21,12684406,164987,11729896
6-Apr-21,12799718,165617,11789610
7-Apr-21,12925994,166301,11848747
8-Apr-21,13057872,167103,11910576
9-Apr-21,13202817,167876,11987839
10-Apr-21,13355382,168714,12078167
11-Apr-21,13525296,169618,12153547
12-Apr-21,13686134,170498,12250293
13-Apr-21,13871431,171524,12332564
14-Apr-21,14071015,172562,12425989
15-Apr-21,14287843,173746,12543886
16-Apr-21,14521845,175084,12666772
17-Apr-21,14782740,176582,12804981
18-Apr-21,15057803,178202,12948820
19-Apr-21,15314806,179959,13103177
20-Apr-21,15609171,181980,13269833
21-Apr-21,15924906,184081,13449260
22-Apr-21,16257424,186338,13641571
23-Apr-21,16602705,188958,13862112
24-Apr-21,16951684,191719,14077913
